Z,Symbol,Name,Atomic Mass (u),Density (g/cm^3),Melting Point (K),Boiling Point (K)
44,Ru,Ruthenium,101.07(2),12.37,2523.15,4423
45,Rh,Rhodium,102.90550(2),12.41,2239.15,3968
46,Pd,Palladium,106.42(1),12.02,1825.15,3236
47,Ag,Silver,107.8682(2),10.501,1234.15,2435
48,Cd,Cadmium,112.411(8),8.69,594.33,1040
49,In,Indium,114.818(3),7.31,429.91,2345
50,Sn,Tin,118.710(7),7.287,505.21,2875
51,Sb,Antimony,121.760(1),6.685,904.05,1860
52,Te,Tellurium,127.60(3),6.232,722.8,1261
53,I,Iodine,126.90447(3),4.93,386.65,457.4
54,Xe,Xenon,131.293(6),0.005887,161.45,165.03
55,Cs,Caesium,132.9054519(2),1.873,301.7,944
56,Ba,Barium,137.327(7),3.594,1002.15,2170
57,La,Lanthanum,138.90547(7),6.145,1193.15,3737
58,Ce,Cerium,140.116(1),6.77,1071.15,3716
59,Pr,Praseodymium,140.90765(2),6.773,1204.15,3793
60,Nd,Neodymium,144.242(3),7.007,1289.15,3347
61,Pm,Promethium,[146.9151],7.26,1204.15,3273
62,Sm,Samarium,150.36(2),7.52,1345.15,2067
63,Eu,Europium,151.964(1),5.243,1095.15,1802
64,Gd,Gadolinium,157.25(3),7.895,1585.15,3546
65,Tb,Terbium,158.92535(2),8.229,1630.15,3503
66,Dy,Dysprosium,162.500(1),8.55,1680.15,2840
67,Ho,Holmium,164.93032(2),8.795,1743.15,2993
68,Er,Erbium,167.259(3),9.066,1795.15,3503
69,Tm,Thulium,168.93421(2),9.321,1818.15,2223
70,Yb,Ytterbium,173.054(5),6.965,1097.15,1469
71,Lu,Lutetium,174.9668(1),9.84,1936.15,3675
72,Hf,Hafnium,178.49(2),13.31,2500.15,4876
73,Ta,Tantalum,180.9479(1),16.654,3269.15,5731
74,W,Tungsten,183.84(1),19.25,3680.15,5828
75,Re,Rhenium,186.207(1),21.02,3453.15,5869
76,Os,Osmium,190.23(3),22.61,3300.15,5285
77,Ir,Iridium,192.217(3),22.56,2716.15,4701
78,Pt,Platinum,195.084(9),21.46,2045.15,4098
79,Au,Gold,196.966569(4),19.282,1337.73,3129
80,Hg,Mercury,200.59(2),13.5336,234.43,630
81,Tl,Thallium,204.3833(2),11.85,577.15,1746
82,Pb,Lead,207.2(1),11.342,600.75,2022
83,Bi,Bismuth,208.98040(1),9.807,544.67,1837
84,Po,Polonium,[208.9824],9.32,527.15,1235
85,At,Astatine,[209.9871],[7],575.15,610
86,Rn,Radon,[222.0176],0.00973,202.15,211.3
87,Fr,Francium,[223.0197],1.87,300.15,950
88,Ra,Radium,[226.0254],5.5,973.15,2010
89,Ac,Actinium,[227.0278],10.07,1323.15,3471
90,Th,Thorium,232.03806(2),11.72,2028.15,5061
91,Pa,Protactinium,231.03588(2),15.37,1873.15,4300*
92,U,Uranium,238.02891(3),18.95,1405.15,4404
93,Np,Neptunium,[237.0482],20.45,913.15,4273
94,Pu,Plutonium,[244.0642],19.84,913.15,3501
95,Am,Americium,[243.0614],13.69,1267.15,2880
96,Cm,Curium,[247.0704],13.51,1340.15,3383
97,Bk,Berkelium,[247.0703],14.79,1259.15,983
98,Cf,Californium,[251.0796],15.1,1925.15,1173
99,Es,Einsteinium,[252.0829],[13.5],1133.15,n/a
100,Fm,Fermium,[257.0951],n/a,n/a,n/a
101,Md,Mendelevium,[258.0986],n/a,n/a,n/a
102,No,Nobelium,[259.1009],n/a,n/a,n/a
103,Lr,Lawrencium,[264],[9.84],n/a,n/a
104,Rf,Rutherfordium,[265],18.1,n/a,n/a
105,Db,Dubnium,[268],[39],n/a,n/a
106,Sg,Seaborgium,[272],[35],n/a,n/a
107,Bh,Bohrium,[273],[37],n/a,n/a
108,Hs,Hassium,[276],[41],n/a,n/a
109,Mt,Meitnerium,[279],[35],n/a,n/a
110,Ds,Darmstadtium,[278],[21.46],n/a,n/a
111,Rg,Roentgenium,[283],[19.282],n/a,n/a
112,Uub,Ununbium,[285],[13.5336],n/a,n/a
113,Uut,Ununtrium,[287],[11.85],n/a,n/a
114,Uuq,Ununquadium,[289],[11.342],n/a,n/a
115,Uup,Ununpentium,[291],[9.807],n/a,n/a
116,Uuh,Ununhexium,[293],[9.32],n/a,n/a
117,Uus,Ununseptium,[295],n/a,n/a,n/a
118,Uuo,Ununoctium,[294],n/a,n/a,n/a
