Z,A,E (keV),ΔE (keV),Sigma,ΔSigma (b),Intensity (%),T1/2 (s)
12,26,3561.144,0.143,0.00252124999781867,0.000127941389805052,7.98192514252505,
12,25,3743.802,0.159,0.00128267856907503,0.0000784200354428129,4.06078109236922,
12,25,3831.25,0.155,0.00407835308782284,0.000203946464181435,12.9114959166889,
12,24,3916.653,0.157,0.0314165336393226,0.00147544008095488,99.4603549682294,
12,25,4216.117,0.177,0.00144512795549413,0.0000797906181933159,4.57507314709139,
12,25,4967.014,0.22,0.00148731634910886,0.0000962891225347515,4.70863570534917,
12,25,5451.79,0.232,0.00204593597303605,0.000120564129252658,6.47714736630705,
12,25,8153.374,0.369,0.0027073874438425,0.000194437607902534,8.57121028349418,
13,27,982.938,0.044,0.00902313339363994,0.000141847966321571,3.8766684618131,
13,27,1013.573,0.043,0.00554539970822914,0.0000986292612813441,2.38250674341048,
13,27,1408.268,0.035,0.00639906189407152,0.000128864093153653,2.74927127281777,
13,27,1622.895,0.03,0.00989254459108772,0.000150509459860313,4.25019934321054,
13,28,1778.85,0.03,0.232754837885205,0.00294545881200057,100,134.5
13,27,2108.189,0.035,0.00548526992783726,0.000110893432782616,2.35667278827631,
13,27,2282.705,0.037,0.00889702052258774,0.000166386720902706,3.82248575515142,
13,27,2590.097,0.046,0.00807024011201893,0.000157548891137817,3.46727062060003,
13,27,2821.313,0.055,0.00751830296248373,0.000153067523261475,3.23013821357895,
13,27,3033.748,0.06,0.0178687821630316,0.000278096746740843,7.67708303096349,
13,27,3464.867,0.078,0.0146439998304797,0.000268946839920099,6.29159847483046,
13,27,3590.925,0.085,0.010004059475238,0.000214502239025899,4.29811022023613,
13,27,3848.952,0.096,0.00698992310523204,0.000167782307549387,3.00312688180491,
13,27,3875.35,0.097,0.00617662714804193,0.000143232377371197,2.65370516211923,
13,27,4133.204,0.104,0.0149424192694882,0.000290763040519607,6.41981039159232,
13,27,4259.346,0.109,0.0153109683260623,0.000310262495251347,6.57815255965323,
13,27,4659.815,0.127,0.00604677296953828,0.000162726269338456,2.59791505279927,
13,27,4690.481,0.125,0.0108630018591412,0.000239218782133504,4.66714331604952,
13,27,4733.628,0.136,0.0125505419488784,0.000286461103100878,5.39217232299522,
13,27,4902.894,0.135,0.00715997876970597,0.000175514506623586,3.07618902135872,
13,27,5133.987,0.149,0.00722011837753421,0.000233631560809977,3.10202719871936,
13,27,6101.535,0.189,0.0056993345030781,0.000206522475568505,2.44864276715444,
