Z,A,E (keV),ΔE (keV),Sigma,ΔSigma (b),Intensity (%),T1/2 (s)
23,51,4117.102,0.207,0.094039338982932,0.00441311246573065,1.89991995248641,
23,51,5142.402,0.137,0.200239344336703,0.00615959587125857,4.04552743237749,
23,51,5210.176,0.157,0.244113243038285,0.0202241661592659,4.93193195667591,
23,51,5515.902,0.174,0.385848287185063,0.035719416660952,7.79547014456002,
23,51,5752.275,0.145,0.365550789068432,0.0236769974692466,7.3853904686029,
23,51,5892.458,0.146,0.125523242222166,0.00673354969294927,2.53600370842634,
23,51,6465.09,0.178,0.434634520776262,0.0348105696554984,8.78112082659433,
23,51,6517.617,0.148,0.782752253285088,0.0427763030779061,15.8143032474946,
23,51,6874.484,0.201,0.492289371505133,0.0610443785802748,9.94594825352134,
23,51,7163.168,0.181,0.589592303162579,0.0433172830372169,11.9118040675967,
23,51,7310.979,0.206,0.226555915797959,0.00903450272526832,4.57721321134016,
24,51,320.0824,0.0004,0.0799640623950094,0.017392984420676,5.79449727500068,2393496
24,52,564.144,0.033,0.11295523814064,0.0020259953541075,8.18516218410434,
24,50,749.102,0.032,0.569381719576014,0.00850403757187967,41.2595448968126,
24,53,834.803,0.033,1.38,0.025530535191111,100,
24,53,1784.41,0.036,0.177235288676465,0.00330232166896774,12.8431368606134,
24,50,1898.903,0.041,0.0851210978713981,0.00209140828119685,6.1681954979274,
24,53,1994.307,0.046,0.0552360174086157,0.0016386819737509,4.00260995714607,
24,53,2238.776,0.039,0.185304145723612,0.00334813591898002,13.4278366466386,
24,52,2320.8,0.043,0.135711360185306,0.00323151026396857,9.8341565351671,
24,50,2376.547,0.046,0.0361396847277469,0.000919527942000327,2.6188177338947,
24,53,2601.533,0.059,0.0400849264249837,0.00140710163509568,2.90470481340462,
24,52,2669.815,0.067,0.0262688689061559,0.00121658480095575,1.90354122508376,
24,53,3719.32,0.125,0.0650054557892809,0.00296069217082193,4.71054027458558,
24,52,4321.861,0.1,0.0268932653712625,0.00145897509065999,1.94878734574366,
24,53,4845.801,0.133,0.0280701000957555,0.00171493939843951,2.03406522433011,
24,53,5268.102,0.122,0.0465266977717361,0.00253343109655606,3.3714998385316,
24,52,5617.365,0.1,0.131841042889195,0.00485635327337649,9.5536987600866,
24,53,5857.026,0.181,0.0265546831256555,0.00209109716726817,1.92425240040982,
24,50,6134.188,0.122,0.0781633976618507,0.00353085771679258,5.66401432332252,
24,50,6370.054,0.59,0.0267942759640731,0.0164042298243991,1.94161420029515,
24,50,7361.09,0.138,0.0914627387539533,0.00423846836331096,6.62773469231546,
24,52,7373.845,0.149,0.0795759116882009,0.00398500737922546,5.76637041218847,
24,52,7937.858,0.117,0.424472412422593,0.0107604732758728,30.7588704654053,
24,50,8482.84,0.14,0.168277993108051,0.00713208315782781,12.1940574715979,
24,50,8510.681,0.137,0.230620505437528,0.00816847401347807,16.7116308288064,
25,55,83.884,0.023,3.10672532554917,0.0498657064163309,24.2087100834067,
25,55,104.611,0.023,1.74344524813983,0.0271996988870949,13.5855462378378,
25,55,122.024,0.024,0.397804634854321,0.0071000066462865,3.09983537837268,
25,55,188.521,0.022,0.329973826871883,0.00569868540624513,2.5712735671093,
25,55,212.039,0.021,2.13,0.0272085371317024,16.5977185216853,
25,55,271.198,0.022,0.936797414606726,0.0555458734250919,7.29985906079104,
25,55,314.398,0.02,1.46043178982845,0.019770510142913,11.3802045857716,
25,55,352.35,0.02,1.14687459945093,0.0158782311022737,8.93685529641176,
25,55,454.378,0.021,0.387658795803557,0.00672551856607321,3.0207753874192,
25,56,846.754,0.02,12.8330890611087,0.156289586317453,100,9282.6
25,56,1810.72,0.04,3.63412702030472,0.0964435761060648,28.318411903788,9282.6
25,55,3408.614,0.054,0.303390975134974,0.0095230896841688,2.36413051986381,
25,55,4724.843,0.077,0.280565917894334,0.0104931476407958,2.18626954553447,
25,55,4949.212,0.082,0.274214035248287,0.00951075209792345,2.13677341396552,
25,55,5014.365,0.07,0.737123206206244,0.0202732652505631,5.74392652225981,
25,55,5067.869,0.093,0.265177367541178,0.011949522391805,2.06635648111265,
25,55,5180.889,0.08,0.41217723323348,0.013196619182204,3.21183178321893,
25,55,5527.085,0.076,0.787504731236333,0.0224971602210586,6.13651730683383,
25,55,5920.39,0.075,1.05761604878988,0.0258657853547635,8.24132088348887,
25,55,6783.738,0.116,0.378043475732731,0.0168036009135987,2.94584938928235,
25,55,6929.22,0.129,0.247569089150261,0.0121868968866518,1.92914650534555,
25,55,7057.894,0.093,1.21646744030228,0.0311960234015364,9.47914749527332,
25,55,7159.632,0.105,0.643083917529517,0.0238440140595486,5.01113889623361,
25,55,7243.518,0.092,1.35603392350472,0.0327030779301597,10.566699233891,
25,55,7270.14,0.116,0.362445641097988,0.0151285249180221,2.82430550720946,
26,56,122.078,0.022,0.0956096138136873,0.00292743756274689,14.6459331979454,
26,56,230.305,0.018,0.0273565176638918,0.000539510644092996,4.19060086378485,
26,56,352.332,0.016,0.273,0.0033063470633017,41.819432205119,
26,56,366.737,0.016,0.0497308787811613,0.000646399082436939,7.61801140545701,
26,56,691.914,0.016,0.13665736427859,0.00176212152706229,20.9338219076145,
26,57,810.711,0.025,0.0274294409286015,0.000868335892286985,4.20177159464456,
26,56,898.142,0.033,0.0539931424886127,0.000977256098319665,8.27092513495923,
26,56,1018.86,0.021,0.0506534666069989,0.00113645488620686,7.75933777555184,
26,56,1260.353,0.021,0.0684138344479448,0.00113205408947018,10.4799549875021,
26,56,1612.765,0.029,0.152840138974174,0.00219598884996627,23.4127759342544,
26,56,1725.255,0.024,0.181257597373025,0.0026072951332343,27.7658967216263,
26,56,2721.183,0.05,0.0384235785330516,0.0012958484797893,5.88590563201838,
26,56,3267.304,0.059,0.0366699018816879,0.00127545744942547,5.61726914179345,
26,56,3413.143,0.056,0.0449454654753651,0.00139572965386572,6.88495914422911,
26,56,3436.57,0.13,0.0445294255243496,0.00412655203068345,6.82122817526898,
26,56,3854.167,0.07,0.0333257630964748,0.00122776413127901,5.10499813368822,
26,56,4217.933,0.06,0.0989385477578906,0.00264861302910836,15.1558750565349,
26,56,4405.901,0.066,0.0453111607279272,0.00133966257097013,6.94097807398095,
26,56,4809.7,0.077,0.041625514885246,0.00131351116981833,6.37639339833963,
26,56,5920.254,0.076,0.224885335662917,0.00521679356974688,34.4490001783179,
26,56,6018.292,0.078,0.227403511585664,0.00509878556044704,34.8347462855776,
26,56,7278.829,0.1,0.136565304589172,0.00392359507179073,20.9197197686385,
26,56,7631.051,0.093,0.652806567676409,0.0127163266881351,100,
26,56,7645.485,0.093,0.54856811742059,0.011066134821388,84.0322607925279,
26,54,9297.903,0.207,0.0747075479832258,0.00245568364552105,11.4440558171985,
27,59,158.519,0.012,1.20363316104268,0.0152558125584905,16.7636930507337,
27,59,229.811,0.012,7.18,0.0840238461124985,100,
27,59,254.371,0.012,1.29434242861402,0.016213665915821,18.0270533233151,
27,59,277.199,0.011,6.76627123060065,0.0783794246509165,94.2377608718754,
27,59,391.221,0.012,1.07948775609197,0.013913358260957,15.0346484135373,
27,59,435.671,0.012,0.789315207916724,0.0104895662381199,10.9932480211243,
27,59,447.717,0.011,3.41403210566366,0.0374839972271668,47.5491936721959,
27,59,484.284,0.011,0.803558452778299,0.0105616857935603,11.1916219049902,
27,59,497.264,0.013,2.16196348780364,0.0430722920339253,30.1109120864017,
27,59,555.941,0.01,5.76351564063127,0.0615409164412318,80.2718055798228,
27,59,717.302,0.014,0.844562066994976,0.0139067246445075,11.7627028829384,
27,59,785.614,0.017,2.40976236947545,0.0717324934280032,33.5621499926943,
27,59,944.948,0.023,1.08395802377143,0.0394996274258836,15.0969084090729,
27,59,1515.695,0.025,1.7382749699423,0.0249501062762271,24.2099577986393,
27,59,1830.769,0.03,1.70425828357458,0.0233905563696718,23.7361877935178,
27,59,5181.139,0.122,0.912404884175471,0.0232096226126193,12.7075889160929,
27,59,5660.684,0.157,1.88577015803605,0.0600376311300956,26.2642083291929,
27,59,5742.159,0.094,0.76558195728229,0.0230066082092276,10.6627013549066,
27,59,5975.601,0.222,2.86489463784119,0.425724122324166,39.9010395242506,
27,59,6486.166,0.131,2.31791348004455,0.045302324809876,32.282917549367,
27,59,6705.521,0.104,3.02379011661643,0.0552136231925621,42.1140684765519,
27,59,6876.764,0.108,3.02184427223323,0.0617292623759257,42.0869675798499,
27,59,6984.943,0.357,1.05242655233922,0.127140137499275,14.6577514253373,
27,59,7214.091,0.116,1.38299938655715,0.031626426173143,19.2618298963391,
27,59,7491.29,0.121,1.1579531783023,0.0285067347790989,16.127481591954,
28,62,155.446,0.019,0.0666100290924361,0.00115619044829154,4.47472866796463,
28,60,282.94,0.018,0.211429337735965,0.0027294309564984,14.203400474469,
28,58,339.37,0.018,0.166280763201527,0.00210501414575347,11.1704094438446,
28,58,464.972,0.018,0.843,0.00980018444116168,56.6310556907193,
28,58,877.984,0.019,0.235876290469276,0.00287421716158557,15.8456979142181,
28,58,1188.772,0.022,0.0559220101920254,0.000877843329188634,3.75672891283697,
28,58,1301.486,0.026,0.0518684820210099,0.00255686946713619,3.48442098923474,
28,58,1949.927,0.03,0.047640172678968,0.000973903336896415,3.20037161577476,
28,60,2123.959,0.036,0.0379565166407932,0.00097423091740095,2.54984295102073,
28,58,2553.96,0.034,0.0429109463579207,0.000917124036653346,2.88267164049452,
28,58,2842.05,0.036,0.0460814390388079,0.00098806182992015,3.09565900416989,
28,58,4858.641,0.056,0.0443649022698635,0.0010655721252584,2.98034549366306,
28,58,5312.622,0.067,0.0541548629799392,0.00149574189538999,3.63801549387925,
28,60,5695.683,0.074,0.0419884061029648,0.00131326490781461,2.82069722939684,
28,58,5817.173,0.062,0.108950876218188,0.00240033700655009,7.31910218109714,
28,62,5836.217,0.07,0.0350969855340105,0.00119417896653846,2.35774536459421,
28,58,6105.237,0.07,0.0707929508490718,0.00185299638175307,4.75572899412117,
28,58,6583.784,0.073,0.0836826567432705,0.00206425141586034,5.62163368253321,
28,62,6837.437,0.064,0.458158618866378,0.00761989240184703,30.7781806170877,
28,60,7536.561,0.076,0.190709800798263,0.00406087233940924,12.811503380513,
28,58,7697.284,0.106,0.0379287743377076,0.0020557823922091,2.5479792785284,
28,60,7819.547,0.075,0.337302995382778,0.00639517589874703,22.6593413003186,
28,58,8120.596,0.086,0.133458128501105,0.00320564066375446,8.96545042411061,
28,58,8533.453,0.083,0.721121927647191,0.0134025264906497,48.4435303017639,
28,58,8998.31,0.093,1.48858252723364,0.028465071824113,100,
29,65,88.857,0.028,0.0970070813674833,0.00173771124454363,10.8630550243542,
29,63,159.018,0.026,0.649264780220336,0.00799301075294958,72.7060224210902,
29,65,185.658,0.026,0.244176300909233,0.0031771647609084,27.3433707625121,
29,63,202.689,0.026,0.193691172102007,0.00251938198143048,21.6899408848832,
29,63,277.993,0.025,0.893,0.0115094455902553,100,
29,63,343.651,0.025,0.214770508689644,0.00320532184267744,24.050448901416,
29,63,384.269,0.031,0.0701051579724745,0.00113454381468916,7.85052160945964,
29,65,385.372,0.028,0.131129615923035,0.00176796120919973,14.6841675165772,
29,65,464.857,0.025,0.135189381684581,0.00205540326058876,15.1387885425062,
29,63,467.736,0.026,0.0672729970334281,0.00134367388271981,7.53337032849139,
29,63,503.451,0.027,0.0595677133428309,0.00103781852380474,6.67051661173918,
29,63,579.481,0.026,0.0898585895874851,0.00141567067992371,10.0625520254743,
29,63,608.52,0.026,0.266464009382176,0.00482903107438723,29.839194779639,
29,63,648.532,0.03,0.100979754265834,0.00263072454352968,11.3079232100599,
29,63,662.673,0.045,0.0671146279160555,0.00468050746463116,7.51563582486623,
29,66,1039.2,0.2,0.0622702083818381,0.00139726823899278,6.97314763514425,305.28
29,63,5417.602,0.089,0.0564226086255255,0.0022653337045292,6.31832123466131,
29,65,6600.08,0.127,0.0780381276697329,0.00472678253288281,8.73887207947737,
29,65,6679.639,0.112,0.066944209581906,0.0027052438127811,7.4965520248495,
29,63,6987.994,0.09,0.0922856016930775,0.00330597190879928,10.3343338962013,
29,63,7175.927,0.119,0.0702077307089396,0.00405391205514047,7.86200791813433,
29,63,7252.097,0.111,0.113707661692138,0.00503894901080647,12.7332207941924,
29,63,7306.255,0.09,0.244755888674082,0.00620206794706475,27.408274207624,
29,63,7636.745,0.089,0.427695943654992,0.00923904866552777,47.8942826041425,
29,63,7915,0.088,0.868965308327418,0.0160837675066825,97.3085451654444,
30,64,115.256,0.023,0.167,0.00259381232558347,46.9541664960968,
30,64,153.124,0.022,0.0322396647804033,0.000613267930156218,9.06459034657127,
30,70,184.665,0.02,0.0321001378485288,0.00043344437969865,9.02536058136214,
30,69,438.634,0.018,0.0235610311314193,0.00290874569418971,6.62448250637353,49536
30,68,531.439,0.031,0.0162877274011951,0.000641260814563345,4.57950098346558,
30,64,751.682,0.028,0.0306578991291653,0.000970490773314648,8.61985688701419,
30,68,834.782,0.03,0.0372015624296222,0.00124847925717354,10.4596907559007,
30,64,909.653,0.035,0.0185524175201318,0.000747564782437737,5.21624731224775,
30,68,1007.806,0.025,0.0556940998379506,0.00150301470347085,15.6591020158166,
30,67,1077.336,0.017,0.355665987626215,0.00507675193700829,100,
30,67,1126.097,0.029,0.0223726933650946,0.000666709015201902,6.29036628281899,
30,67,1261.166,0.027,0.0432790838868634,0.00112925448847705,12.1684629378582,
30,67,1340.148,0.029,0.0430757643674548,0.00132503572230416,12.1112970781803,
30,67,1673.463,0.048,0.0254645697124778,0.00112612526886601,7.15968650318052,
30,67,1883.109,0.037,0.072598030115258,0.00216775719093992,20.411856247428,
30,67,2210.116,0.087,0.0269752644050242,0.00132516659027938,7.58443746197447,
30,68,4137.279,0.123,0.0195931899707104,0.00228449742521299,5.50887367709216,
30,68,5473.738,0.116,0.0398651353796323,0.0035462227987632,11.2085880479323,
30,64,6037.293,0.185,0.0163532767812252,0.00143946381116524,4.59793102240958,
30,66,6867.513,0.168,0.0242852167970927,0.00170915629751532,6.82809648433831,
30,67,6910.92,0.155,0.0192135759622683,0.00135232653898441,5.40214038753142,
30,66,6958.453,0.121,0.0416178087227515,0.00342045647958526,11.7013743710825,
30,64,7069.172,0.169,0.0216933911254288,0.00144238671905306,6.09937184891216,
30,64,7111.971,0.177,0.0217749074642984,0.00153319879124934,6.12229120069322,
30,64,7863.545,0.107,0.14113248090471,0.00497643208641056,39.6811856671075,
31,71,103.253,0.03,0.0524580586283647,0.00110574875607551,2.54627105958743,
31,71,112.455,0.029,0.154909613156776,0.00255193197488404,7.5191853291289,
31,71,145.235,0.029,0.465,0.00688606948990556,22.5707178966768,
31,71,184.133,0.03,0.104392020904847,0.00209394005041783,5.06710291291889,
31,69,187.842,0.029,0.107999727165571,0.00208656707242021,5.24221801026271,
31,71,192.088,0.028,0.193907442591787,0.00322853538047558,9.41210792431244,
31,71,194.671,0.029,0.106399522454314,0.00205547393518089,5.16454538851067,
31,71,198.002,0.029,0.13305719619584,0.00238462853260811,6.45848696657867,
31,71,212.58,0.03,0.0582112590058697,0.00116738174651668,2.82552667834811,
31,69,318.871,0.029,0.0592434555293264,0.00136483303741798,2.87562864941235,
31,71,390.637,0.031,0.0477212794148756,0.00121214632401357,2.31635168890677,
31,71,393.259,0.027,0.133829451615762,0.00233683539068524,6.4959716100781,
31,69,508.193,0.028,0.349416395709275,0.00553876205781492,16.9603847226401,
31,69,509.719,0.105,0.0429856978422873,0.00143354736149841,2.08649045073131,
31,72,629.96,0.04,0.611286012995168,0.0273101821014931,29.6713207602113,50760
31,69,651.088,0.026,0.103313133467368,0.00215642963162289,5.01473460325523,
31,69,690.943,0.024,0.305474228412558,0.00426870588515102,14.8274680305481,
31,72,834.03,0.03,2.0601914486223,0.062836217085863,100,50760
31,69,1140.37,0.04,0.0421571066811824,0.0016020439862573,2.04627131664748,
31,72,2201.66,0.07,0.645953745897477,0.0542071866601837,31.3540640278573,50760
31,72,2507.79,0.07,0.346245109144956,0.0490109871302964,16.8064530787417,50760
31,71,5601.788,0.148,0.0627944547348155,0.00442980114956166,3.04799123289282,
31,71,6008.106,0.142,0.0700881447769196,0.00446949752137887,3.40202095411031,
31,71,6111.192,0.162,0.0561978566596095,0.00435314630509618,2.72779778292887,
31,71,6360.022,0.133,0.138299343743841,0.00476894263274323,6.71293650094146,
32,73,175.048,0.029,0.163631968741966,0.00374468360476908,14.9163143793953,
32,74,253.223,0.028,0.0609033229117063,0.00164437085394961,5.55180701109447,
32,70,325.742,0.033,0.0649388198448361,0.00182513283336419,5.9196736412795,
32,70,326.858,0.034,0.0536271322845413,0.00157793242753951,4.88852618819884,
32,73,492.989,0.022,0.133314437575751,0.00324692330572498,12.1526378829308,
32,70,499.966,0.022,0.158051413596329,0.00377260341790673,14.4076037918258,
32,73,595.879,0.02,1.097,0.0237757526294914,100,
32,73,608.375,0.021,0.249556929500688,0.00593417486968548,22.749036417565,
32,73,701.49,0.024,0.0641795286399373,0.00190841892250783,5.85045839926502,
32,70,708.14,0.026,0.0821461735532797,0.0022752767752578,7.48825647705375,
32,70,831.291,0.031,0.0439467601538131,0.00150465468999496,4.0060857022619,
32,73,867.94,0.023,0.552680243648235,0.0122643490240988,50.3810614082256,
32,73,868.006,0.024,0.465087901627997,0.0278254225369618,42.3963447245211,
32,73,961.044,0.041,0.128975601853145,0.00349185970760268,11.7571195855191,
32,73,999.776,0.033,0.0580705588655617,0.00194362401914612,5.29357874800016,
32,70,1095.418,0.035,0.0493283787463487,0.00153937634316674,4.49666169064254,
32,73,1101.221,0.032,0.133620117471679,0.00338271341161529,12.1805029600437,
32,73,1105.56,0.034,0.0707637556963249,0.0020088951711551,6.45066141260938,
32,73,1131.359,0.037,0.0487228137070557,0.00152065077117497,4.44145977274893,
32,70,1139.195,0.038,0.0431742371696471,0.00137963560699861,3.93566428164513,
32,73,1204.144,0.043,0.14135332129011,0.00383091634368384,12.8854440556163,
32,70,1298.558,0.045,0.0457253074015107,0.00156738870157371,4.16821398372933,
32,73,1471.751,0.049,0.0826105695303448,0.00258060631420288,7.53058974752459,
32,73,1509.789,0.056,0.0422272551209982,0.00169066955292335,3.84933957347295,
32,70,6036.876,0.292,0.0452554323206145,0.00311738477418434,4.1253812507397,
33,75,74.883,0.078,0.122256919541742,0.029063221977413,6.30041062453024,
33,75,86.828,0.029,0.578963717920386,0.0113058098256271,29.8364229466593,
33,75,116.913,0.074,0.107013659216557,0.0176330721009236,5.51486163748505,
33,75,120.276,0.029,0.401510628175636,0.00798143685623261,20.6915227138196,
33,75,122.265,0.03,0.226985178773504,0.00526652257387583,11.6974960379825,
33,75,127.552,0.033,0.0955342835254163,0.00306456664144386,4.9232813748829,
33,75,135.477,0.03,0.156440572529941,0.00348349291769785,8.06203729792737,
33,75,144.603,0.03,0.100072495542701,0.00221867404637265,5.15715442940813,
33,75,157.792,0.079,0.117453654158264,0.0241443095877301,6.05287826098028,
33,75,165.087,0.028,0.996,0.0162632203262255,51.3280475702609,
33,75,178.156,0.031,0.0978666833923521,0.00230256912564942,5.04347969950433,
33,75,187.937,0.037,0.0902625628460345,0.00279415539015448,4.65160754977402,
33,75,198.701,0.034,0.0886950917351857,0.0028232231594451,4.57082920465087,
33,75,211.175,0.029,0.112570187796813,0.00291419194122677,5.80121280544981,
33,75,225.763,0.033,0.0802831699887107,0.00241522032231978,4.13732767898784,
33,75,235.84,0.031,0.180746984981279,0.00385028572131033,9.31464843704852,
33,75,263.883,0.053,0.180752570278213,0.0414819376305514,9.31493627077013,
33,75,281.559,0.063,0.0854185968370436,0.0196881591087495,4.40197771268746,
33,75,357.364,0.042,0.074017914363225,0.00329447954636505,3.81445284085051,
33,75,426.621,0.03,0.100262301712487,0.00289626938670971,5.16693593554454,
33,75,471.045,0.029,0.202787350246892,0.00532559757763275,10.450480682851,
33,75,473.214,0.03,0.176205345381123,0.00477556328028485,9.08059874483588,
33,76,559.1,0.05,1.94045954823552,0.0732737094096702,100,93122
33,75,6810.107,0.207,0.160081720730577,0.00799791046502857,8.24968090038985,
33,75,7020.035,0.257,0.104292345927054,0.00721045312185783,5.37462097686541,
34,76,87.869,0.034,0.210156330595573,0.00428120693848314,9.80567517352506,
34,76,139.284,0.033,0.542428988626423,0.00886069449442812,25.3091708068035,
34,76,161.986,0.034,0.854620362943296,0.0220063657612179,39.8756946885833,
34,76,200.498,0.038,0.240244970473105,0.00990027564589176,11.2095797250374,
34,76,239.059,0.032,2.06,0.03004110272987,96.1174512336442,
34,76,249.851,0.032,0.539283533037969,0.00929655131759714,25.1624071300409,
34,74,286.623,0.033,0.280154042758481,0.00580463122392403,13.0716954091003,
34,76,297.257,0.033,0.338108723328948,0.00673841372771751,15.7758003525436,
34,76,439.525,0.033,0.319994462599754,0.00754713474155205,14.9306078417321,
34,76,518.21,0.035,0.274460381226497,0.00667633324549836,12.8060351010219,
34,76,520.678,0.031,1.26556543081759,0.0192595578748523,59.0499629027161,
34,76,578.846,0.032,0.244002574523353,0.00530233689624235,11.384905610501,
34,77,613.725,0.032,2.14321122081412,0.0501399356459009,100,
34,77,694.881,0.033,0.444168688970316,0.0100036341179607,20.7244477192311,
34,76,755.343,0.034,0.185796575355336,0.00418380418103124,8.66907440344399,
34,76,885.401,0.036,0.261728479841726,0.00657205717884779,12.2119778629334,
34,76,888.84,0.043,0.179666154321504,0.00531624342921578,8.38303535258908,
34,76,1296.924,0.038,0.240589695229881,0.00734881560349897,11.2256642226094,
34,77,1308.597,0.041,0.317188308844171,0.00854089230069511,14.7996756345688,
34,76,5600.893,0.125,0.286572326047367,0.0138373331846115,13.3711658125096,
34,76,6006.848,0.132,0.268976098772231,0.0158480338402389,12.5501442023086,
34,76,6413.357,0.146,0.183920995069617,0.0149744598580587,8.58156178371226,
34,76,6600.666,0.121,0.613145486680319,0.0195415003011619,28.6087288422935,
34,76,7179.514,0.154,0.237014314478278,0.0188514745267098,11.0588406861852,
34,76,7418.521,0.143,0.342040100149359,0.0131274005998241,15.9592342942023,
35,79,37.232,0.032,0.130133904453704,0.012165425478338,16.183175385097,
35,79,59.569,0.032,0.202035149856036,0.00512044118907915,25.1246612310611,
35,79,195.644,0.032,0.434122756943911,0.0140215500844305,53.9865820808021,
35,79,219.367,0.032,0.398887338589108,0.0143329057808925,49.604780448116,
35,79,223.641,0.032,0.153492324312679,0.00495727676629802,19.0879787634587,
35,79,234.321,0.033,0.205184424367266,0.00948703681739394,25.5162983064643,
35,79,244.311,0.038,0.453084698332049,0.0261749973683995,56.3446487538522,
35,79,245.233,0.033,0.804130841797239,0.0333729356965574,100,
35,79,271.385,0.031,0.462,0.00728566709967049,57.4533366942408,
35,79,274.536,0.031,0.158202154954282,0.00303657635160927,19.6736832777983,
35,81,287.762,0.03,0.253249320314422,0.00410061588193177,31.4935464666929,
35,79,294.318,0.032,0.115847372651135,0.00221782534713052,14.4065326971187,
35,79,299.948,0.159,0.0842985412845465,0.0826210386700678,10.4831871758753,
35,79,315.049,0.032,0.459864676679268,0.0090953994714144,57.1877924308271,
35,79,343.425,0.035,0.118305731010475,0.00348503346522952,14.7122489103963,
35,81,345.086,0.037,0.15384632653005,0.00412974300527738,19.1320017257642,
35,79,366.579,0.04,0.232682867217557,0.00584013273822754,28.9359461325359,
35,79,432.202,0.03,0.0782525850112502,0.00136197417201406,9.7313249217447,
35,79,452.688,0.055,0.0678542103889502,0.00235457959655917,8.4382051852775,
35,79,468.909,0.036,0.289127434651597,0.0303168425270733,35.9552724038534,
35,81,512.215,0.051,0.214189776561428,0.032680646049405,26.6361847386318,
35,79,542.394,0.038,0.113561959779412,0.00456875474642685,14.1223236165896,
35,79,660.376,0.055,0.0818861869634009,0.00344657728955046,10.1831919268741,
35,79,689.868,0.042,0.0831663317946351,0.00357932378367735,10.3423880134678,
35,79,7576.273,0.138,0.107905680779648,0.00333226446466272,13.418920798819,
37,85,113.75,0.028,0.0053532643667261,0.000138762178912952,5.86393629482656,
37,87,196.344,0.026,0.00964100858504553,0.000185748015904441,10.560707689308,
37,85,360.28,0.031,0.00508807748283996,0.000145230437231594,5.57345204319919,
37,85,421.494,0.023,0.0259000561234631,0.000451546055440559,28.370778787692,
37,85,487.895,0.026,0.0493594390781794,0.00122756663597706,54.0680576326235,
37,85,514.546,0.034,0.00652871690609796,0.000202276073685679,7.15152053058963,
37,85,536.503,0.03,0.0166963430501076,0.000532146001228325,18.2890821927178,
37,85,538.656,0.03,0.0169398202281009,0.000509246092538555,18.5557857521144,
37,85,555.611,0.03,0.0407086967153915,0.00097533254145107,44.5920821075498,
37,85,556.811,0.026,0.0912913118010679,0.00242047584447785,100,
37,85,638.824,0.06,0.0100780066434721,0.00128670732497044,11.0393929549758,
37,85,691.568,0.028,0.00725019812532719,0.000179399438658705,7.9418270833111,
37,85,872.927,0.027,0.0321258536656215,0.000510440349799439,35.1904831158815,
37,85,1026.352,0.033,0.0217801966991637,0.000402443213798261,23.8579074716603,
37,85,1032.324,0.032,0.0227239810847224,0.000404241820580515,24.8917236880548,
37,86,1076.64,0.04,0.0367101839509392,0.0110602941458704,40.2121332541853,1609718.4
37,85,1105.51,0.044,0.015128281686621,0.000325142392410806,16.5714364140006,
37,85,1304.45,0.04,0.0204161214128853,0.000455620901017357,22.3637069181062,
37,85,1389.31,0.045,0.00808749202506739,0.000214501457565148,8.85899420822298,
37,85,1666.777,0.056,0.00773822798956457,0.000225827012102863,8.47641230791696,
37,88,1836.063,0.012,0.00758800627163968,0.000242031591183984,8.31186026571142,1067
37,85,6520.658,0.256,0.0064074421623532,0.000391667952523069,7.0186768444248,
37,85,6832.201,0.273,0.00640421965328067,0.000367086338183363,7.01514692574037,
37,85,7346.029,0.288,0.00590366654975309,0.000327645343550627,6.46684381380971,
37,85,7624.076,0.288,0.011366623326735,0.000471847048702106,12.4509365705073,
38,86,388.526,0.022,0.051741180015778,0.000940528073458586,5.02866964570634,
38,87,434.926,0.023,0.0346008579334982,0.000816373177340934,3.36282017442434,
38,86,484.837,0.024,0.0315263771050381,0.000795513669051922,3.06401468885813,
38,87,585.61,0.02,0.0704444957048083,0.00136054445248069,6.84642478485874,
38,87,850.671,0.017,0.27546721077449,0.00415341915962305,26.7723619907133,
38,87,898.063,0.016,0.703,0.00949951158050152,68.3238140269229,
38,87,1218.548,0.024,0.0596598065710488,0.00129694243945306,5.79827244529521,
38,87,1382.622,0.042,0.0239310465244946,0.000819762437702915,2.32583267739575,
38,87,1534.553,0.032,0.031607444836916,0.000879971461720694,3.07189357454292,
38,87,1706.613,0.045,0.0229285812740401,0.000828871788045118,2.22840415770797,
38,87,1717.813,0.034,0.0671795292290769,0.00146396108523822,6.52910620407352,
38,87,1799.059,0.042,0.0354078730059212,0.00108282723555766,3.44125310148714,
38,87,1836.052,0.033,1.02892382401688,0.0184172388721736,100,
38,87,2111.348,0.056,0.0277176024114061,0.00100272136489608,2.69384397216088,
38,87,2202.845,0.052,0.0340941177771957,0.00101268525526503,3.31357064355779,
38,87,2276.519,0.053,0.0433246316687764,0.00136641132051578,4.21067436262079,
38,87,2391.064,0.059,0.0472836651435582,0.00162320627482421,4.59544856867677,
38,87,2577.658,0.069,0.0247526939665125,0.000990108970479506,2.40568770872452,
38,87,3009.343,0.07,0.0578715699656953,0.00157095187303,5.6244756526063,
38,87,6101.686,0.167,0.0459698204022948,0.00218008826692866,4.46775741112011,
38,87,6266.818,0.168,0.0746915234946307,0.00270918825015934,7.259188848698,
38,87,6660.382,0.181,0.0639812969281004,0.00267935403543836,6.21827344596994,
38,87,6885.074,0.193,0.0465066973465061,0.00288057690605591,4.51993590399584,
38,87,6941.832,0.188,0.0510776311300695,0.00262364677859753,4.96418004305354,
38,87,7527.581,0.202,0.0665872910194041,0.00268020076979183,6.47154720934049,
39,89,176.967,0.043,0.0128768085854443,0.000428044951234703,1.70820953412467,
